id,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,averageRating,ratingsCount,language,isbn10,isbn13,thumbnail,previewLink,infoLink
QjrMPesyDu4C,Readings on Poetry,,"Richard Lovell Edgeworth, Maria Edgeworth",,1816,,260.0,English poetry,,,en,,,http://books.google.com/books/content?id=QjrMPesyDu4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=QjrMPesyDu4C&printsec=frontcover&dq=poetry&hl=&cd=54&source=gbs_api,https://play.google.com/store/books/details?id=QjrMPesyDu4C&source=gbs_api
zvisgTYONyAC,"Eclectic Magazine of Foreign Literature, Science, and Art",,,,1901,,876.0,American literature,,,en,,,http://books.google.com/books/content?id=zvisgTYONyAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=zvisgTYONyAC&pg=PA670&dq=poetry&hl=&cd=55&source=gbs_api,https://play.google.com/store/books/details?id=zvisgTYONyAC&source=gbs_api
z2g-AQAAMAAJ,"Lippincott's Magazine of Literature, Science and Education",,,,1910,,952.0,,,,en,,,http://books.google.com/books/content?id=z2g-AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=z2g-AQAAMAAJ&pg=PA256&dq=poetry&hl=&cd=56&source=gbs_api,https://play.google.com/store/books/details?id=z2g-AQAAMAAJ&source=gbs_api
Rrsr9b7Hr2YC,A classified catalogue of ... educational works in use in Great Britain [by W. Low].,,Walter Low,,1871,,224.0,,,,en,,,http://books.google.com/books/content?id=Rrsr9b7Hr2YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=Rrsr9b7Hr2YC&pg=PA19&dq=poetry&hl=&cd=57&source=gbs_api,https://play.google.com/store/books/details?id=Rrsr9b7Hr2YC&source=gbs_api
AoCmazanGeMC,"Chambers's Journal of Popular Literature, Science and Arts",,,,1883,,848.0,,,,en,,,http://books.google.com/books/content?id=AoCmazanGeMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=AoCmazanGeMC&pg=PA117&dq=poetry&hl=&cd=58&source=gbs_api,https://play.google.com/store/books/details?id=AoCmazanGeMC&source=gbs_api
dPxZAAAAMAAJ,Contemporary American Women Poets,,Tooni Gordi,New York : H. Harrison,1936,,326.0,American literature,,,en,,,http://books.google.com/books/content?id=dPxZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=dPxZAAAAMAAJ&q=poetry&dq=poetry&hl=&cd=59&source=gbs_api,http://books.google.co.in/books?id=dPxZAAAAMAAJ&dq=poetry&hl=&source=gbs_api
_oc1AQAAMAAJ,Chambers's Cyclopaedia of English Literature,"A History Critical and Biographical of Authors in the English Tongue from the Earliest Times Till the Present Day, with Specimens of Their Writing",Robert Chambers,,1902,,860.0,"Authors, English",,,en,,,http://books.google.com/books/content?id=_oc1AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=_oc1AQAAMAAJ&pg=PA508&dq=poetry&hl=&cd=60&source=gbs_api,https://play.google.com/store/books/details?id=_oc1AQAAMAAJ&source=gbs_api
1ARalhpwxoQC,The Independent,,,,1899,,1134.0,,,,en,,,http://books.google.com/books/content?id=1ARalhpwxoQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=1ARalhpwxoQC&pg=PA3271&dq=poetry&hl=&cd=81&source=gbs_api,https://play.google.com/store/books/details?id=1ARalhpwxoQC&source=gbs_api
_Q75yBkQee0C,International Literature,,,,1970,,1368.0,Russian literature,,,en,,,http://books.google.com/books/content?id=_Q75yBkQee0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=_Q75yBkQee0C&q=poetry&dq=poetry&hl=&cd=82&source=gbs_api,http://books.google.co.in/books?id=_Q75yBkQee0C&dq=poetry&hl=&source=gbs_api
vIxAAQAAMAAJ,Eclectic Magazine,Foreign Literature,"John Holmes Agnew, Walter Hilliard Bidwell, Henry T. Steele",,1877,,800.0,American periodicals,,,en,,,http://books.google.com/books/content?id=vIxAAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=vIxAAQAAMAAJ&pg=PA369&dq=poetry&hl=&cd=83&source=gbs_api,https://play.google.com/store/books/details?id=vIxAAQAAMAAJ&source=gbs_api
hXctKPGLQDMC,Poet Lore Plays,Series two,,,1918,,138.0,Drama,,,en,,,http://books.google.com/books/content?id=hXctKPGLQDMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=hXctKPGLQDMC&q=poetry&dq=poetry&hl=&cd=84&source=gbs_api,http://books.google.co.in/books?id=hXctKPGLQDMC&dq=poetry&hl=&source=gbs_api
F_1ZAAAAMAAJ,Poets of Christian Thought,Evaluations from Dante to T.S. Eliot,Henry Martin Battenhouse,,1947,,188.0,English poetry,,,en,,,http://books.google.com/books/content?id=F_1ZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=F_1ZAAAAMAAJ&q=poetry&dq=poetry&hl=&cd=85&source=gbs_api,http://books.google.co.in/books?id=F_1ZAAAAMAAJ&dq=poetry&hl=&source=gbs_api
XMOq2D1dw-sC,Poet Lore,,,,1925,,172.0,Electronic journals,,,en,,,http://books.google.com/books/content?id=XMOq2D1dw-sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=XMOq2D1dw-sC&q=poetry&dq=poetry&hl=&cd=86&source=gbs_api,http://books.google.co.in/books?id=XMOq2D1dw-sC&dq=poetry&hl=&source=gbs_api
6jwMAAAAMAAJ,New Irish Poets,Representative Selections from the Words of 37 Contemporaries,Devin A. Garrity,,1948,,228.0,English poetry,,,en,,,http://books.google.com/books/content?id=6jwMAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=6jwMAAAAMAAJ&pg=PA205&dq=poetry&hl=&cd=87&source=gbs_api,http://books.google.co.in/books?id=6jwMAAAAMAAJ&dq=poetry&hl=&source=gbs_api
mvFfAAAAMAAJ,Akhmatova's Petersburg,,Sharon Leiter,University of Pennsylvania Press Anniversary Collection,1983,"In the poetry of Anna Akhmatova the nineteenth-century myth of Petersburg, as the accursed, unreal city, is filtered through the vision of a poet born in Imperial Russia and destined to confront the terrors of Soviet rule. The city that emerges embodies loss and dislocation, continuity and miraculous survival. This ""scholarly and imaginative study"" (New York Review of Books) convincingly demonstrates that a good part of Akhmatovas verse could never have been written but for the Petersburg environment.",232.0,Language Arts & Disciplines,,,en,,,http://books.google.com/books/content?id=mvFfAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=mvFfAAAAMAAJ&q=poetry&dq=poetry&hl=&cd=89&source=gbs_api,http://books.google.co.in/books?id=mvFfAAAAMAAJ&dq=poetry&hl=&source=gbs_api
MvIxFRLyiUkC,The Wind and the Rain,,,,1947,,288.0,,,,en,,,http://books.google.com/books/content?id=MvIxFRLyiUkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=MvIxFRLyiUkC&q=poetry&dq=poetry&hl=&cd=90&source=gbs_api,http://books.google.co.in/books?id=MvIxFRLyiUkC&dq=poetry&hl=&source=gbs_api
-ihaAAAAMAAJ,"British Modernist Fiction, 1920 to 1945",,Harold Bloom,Chelsea House,1986,"Collects essays on the fiction of the principal British novelists from the period between the two world wars, with discussions on such authors as James Joyce, D. H. Lawrence, Virginia Woolf, Wyndham Lewis, and Evelyn Waugh. Bibliog.",448.0,Literary Criticism,,,en,,,http://books.google.com/books/content?id=-ihaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=-ihaAAAAMAAJ&q=poetry&dq=poetry&hl=&cd=94&source=gbs_api,http://books.google.co.in/books?id=-ihaAAAAMAAJ&dq=poetry&hl=&source=gbs_api
9P0NAQAAMAAJ,Lives of the poets,,Samuel Johnson,,1903,,364.0,,,,en,,,http://books.google.com/books/content?id=9P0NAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=9P0NAQAAMAAJ&pg=PA38&dq=poetry&hl=&cd=95&source=gbs_api,https://play.google.com/store/books/details?id=9P0NAQAAMAAJ&source=gbs_api
ftIpAQAAIAAJ,The Estate of Poetry,,Edwin Muir,,1993,,156.0,Literary Criticism,,,en,,,http://books.google.com/books/content?id=ftIpAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=ftIpAQAAIAAJ&dq=poetry&hl=&cd=98&source=gbs_api,http://books.google.co.in/books?id=ftIpAQAAIAAJ&dq=poetry&hl=&source=gbs_api
XPUliz7uTuQC,"Subject Catalog, 1979",,Library of Congress,,1979,,1028.0,Library catalogs,,,en,,,http://books.google.com/books/content?id=XPUliz7uTuQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=XPUliz7uTuQC&pg=PA661&dq=poetry&hl=&cd=99&source=gbs_api,http://books.google.co.in/books?id=XPUliz7uTuQC&dq=poetry&hl=&source=gbs_api
sOoanPepWgIC,Philosophy and Religion,"A Series of Addresses, Essays and Sermons Designed to Set Forth Great Truths in Popular Form",Strong,,1888,,676.0,,,,en,,,http://books.google.com/books/content?id=sOoanPepWgIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=sOoanPepWgIC&pg=PA532&dq=poetry&hl=&cd=123&source=gbs_api,https://play.google.com/store/books/details?id=sOoanPepWgIC&source=gbs_api
REidLX6Go28C,Psalm CXXV to CL,,Charles Haddon Spurgeon,,1886,,540.0,,,,en,,,http://books.google.com/books/content?id=REidLX6Go28C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=REidLX6Go28C&pg=PR12&dq=poetry&hl=&cd=124&source=gbs_api,https://play.google.com/store/books/details?id=REidLX6Go28C&source=gbs_api
NjvWAAAAMAAJ,The Living Age,,,,1909,,844.0,,,,en,,,http://books.google.com/books/content?id=NjvWAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=NjvWAAAAMAAJ&pg=PA323&dq=poetry&hl=&cd=126&source=gbs_api,https://play.google.com/store/books/details?id=NjvWAAAAMAAJ&source=gbs_api
XKGeGh5OIhQC,Library of Congress Publications in Print,,,,1981,,328.0,,,,en,,,http://books.google.com/books/content?id=XKGeGh5OIhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=XKGeGh5OIhQC&q=poetry&dq=poetry&hl=&cd=127&source=gbs_api,http://books.google.co.in/books?id=XKGeGh5OIhQC&dq=poetry&hl=&source=gbs_api
